TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,3432,3432,1,Mt. Conner,Mt. Conner Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,7.84547540505569,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705635,555705635,1,Mt. Mandalom,Mt. Mandalom Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,194.012106066671,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3434,3434,1,Mt. Walker,Mt. Walker Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,1.50572472651109,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3435,3435,1,Mt. Wullersdorf,Mt. Wullersdorf Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,80.6877663672481,Not Applicable,0,Designated,1992,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705636,555705636,1,Northern Gunung Rara,Northern Gunung Rara Protection Forest,Forest Reserve,Forest Reserve,National,Ib,Not Applicable,0,0,0,0,84.445122690464,Not Applicable,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705637,555705637,1,Nurod Urod,Nurod Urod Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,16.5345829950349,Not Applicable,0,Designated,2003,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9825,9825,1,Sungai Simpang & Simpang (Extension),Sungai Simpang & Sungai Simpang (Extension) Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,12.4993344340131,Not Applicable,0,Designated,2010,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3436,3436,1,Pababag,Pababag Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.27310826408483,0,8.73884673516648,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705638,555705638,1,Pensiangan,Pensiangan Protection Forest,Forest Reserve,Forest Reserve,National,Ib,Not Applicable,0,0,0,0,636.079808216755,Not Applicable,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3451,3451,1,Pin-Supu,Pin-Supu Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,46.7509486373636,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705639,555705639,1,Pulau Banggi & Pulau Balambangan,Pulau Banggi & Pulau Balambangan Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,2.12529060323284,0,87.8953401943438,Not Reported,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3834,3834,1,Rasau Kertih,Rasau Kertih Water Catchment Forest,Forest Reserve,Forest Reserve,National,VI,Not Applicable,0,0,0,10.3381422954,10.3369760770449,Not Applicable,0,Designated,2008,Sub-national ministry or agency,Not Reported,Terengganu State Forestry Department,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9870,9870,1,Pulau Batik,Pulau Batik Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.149519348605823,0,3.46497422997982,Not Reported,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9874,9874,1,Siaungau & Mesapol,Siaungau & Mesapol Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.00912897078741264,0,8.48562826992347,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9845,9845,1,Silabukan,Silabukan Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,1.51055320613066e-05,0,113.115399847904,Not Applicable,0,Designated,1992,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705640,555705640,1,"Pulau Saga, Pulau Saddle & Pulau Laila","Pulau Saga, Pulau Saddle & Pulau Laila Protection Forest",Forest Reserve,Forest Reserve,National,Ia,Not Applicable,1,0,0.198714380872285,0,0.740018510974406,Not Reported,0,Designated,2010,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3438,3438,1,Pulau Sakar,Pulau Sakar Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.247883248075087,0,7.69730575549983,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3439,3439,1,Quoin Hill,Quoin Hill Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,0.559095881742066,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9827,9827,1,Rafflesia,Rafflesia Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,5.65907076008502,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705641,555705641,1,Sapagaya,Sapagaya Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,32.0096615027207,Not Applicable,0,Designated,2012,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705643,555705643,1,Silam,Silam Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.0845604790894845,0,3.46647755046147,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3442,3442,1,Segarong,Segarong Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.181146969388014,0,19.9724224045212,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3443,3443,1,Selangan Island,Selangan Island Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.146737742199419,0,1.60858026933851,Not Reported,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705642,555705642,1,Sempilor Malawali,Sempilor Malawali Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.114421863014494,0,24.7302147955735,Not Reported,0,Designated,2010,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705644,555705644,1,Silimpopon,Silimpopon Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,19.293997006439,Not Applicable,0,Designated,2012,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555697546,555697546,1,Sugud Island Marine Conservation Area,Sugud Islands Marine Conservation Area,Marine Protected Area,Marine Protected Area,National,II,Not Applicable,2,463.17,454.27624116179,463.17,454.558142546305,All,463.17,Designated,2001,Government-delegated management,State,Reef Guardian Sdn. Bhd. / Sabah Wildlife Department (SWD),Not Reported,State Verified,1953,MY-12,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705645,555705645,1,Sipitang,Sipitang Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,11.0839626845332,Not Applicable,0,Designated,2009,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3440,3440,1,Sepagaya,Sepagaya Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.00529548621607704,0,40.6141874608832,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,10072,10072,1,Sepilok (Mangrove),Sepilok (Mangrove) Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.0624416290573013,0,11.2546262227338,Not Reported,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705661,555705661,1,Sungai Talibu,Sungai Talibu Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,205.334914672363,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9851,9851,1,Tenompok,Tenompok Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,19.3873394280014,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,10075,10075,1,Sungai Kapur,Sungai Kapur Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,12.3223325068803,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,8799,8799,1,Sungai Lokan,Sungai Lokan Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,18.6301323638414,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9872,9872,1,Sungai Sansiang,Sungai Sansiang Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,3.39466878964433,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3452,3452,1,Sungai Sapi,Sungai Sapi Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,6.03580520593234,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705646,555705646,1,Sitompok,Sitompok Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.00269736683668399,0,5.10205840253134,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,9826,9826,1,Tabin,Tabin Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,4.07755266207866,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705665,555705665,1,Tajong,Tajong Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,4.3345489762209,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705666,555705666,1,Tamalang,Tamalang Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,1.06582910769707,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705676,555705676,1,Ulu Dusun Agricultural,Ulu Dusun Agricultural Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,0.994066355966839,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705741,555705741,1,Bertam,Bertam Soil Protection Forest,Forest Reserve,Forest Reserve,National,Ib,Not Applicable,0,0,0,9.49661370994,9.49929029963655,Not Applicable,0,Designated,2002,Sub-national ministry or agency,Not Reported,Pahang State Forestry Department,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705647,555705647,1,Sook Lake,Sook Lake Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,13.9760518599605,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3447,3447,1,Sosopodon,Sosopodon Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,0.10703315770947,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705648,555705648,1,Sugud Wildlife Corridor,Sugud Wildlife Corridor Protection Forest,Forest Reserve,Forest Reserve,National,II,Not Applicable,0,0,0,0,3.66846315818163,Not Applicable,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705667,555705667,1,Taman Botanikal Sepilok,Taman Botanikal Sepilok Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,1.04337485594582,Not Applicable,0,Designated,2009,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705669,555705669,1,Tamparuli,Tamparuli Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,0.603774374323393,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705649,555705649,1,Sungai Anjeranjermut,Sungai Anjeranjermut Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,38.5758534891828,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705650,555705650,1,Sungai Gologob,Sungai Gologob Virgin Jungle Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.461508594404482,0,85.0824857003199,Not Applicable,0,Designated,2010,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705651,555705651,1,Sungai Katambalang,Sungai Katambalang Protection Forest,Forest Reserve,Forest Reserve,National,Ib,Not Applicable,0,0,0,0,53.0612888657858,Not Applicable,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705652,555705652,1,Sungai Kiluyu,Sungai Kiluyu Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,9.82643560870759,Not Applicable,0,Designated,2010,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705653,555705653,1,Sungai Kinabatangan,Sungai Kinabatangan Protection Forest,Forest Reserve,Forest Reserve,National,Ib,Not Applicable,0,0,0,0,0.0821894729869995,Not Applicable,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705654,555705654,1,Sungai Lasun & Pulau Evans,Sungai Lasun & Pulau Evans Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.228069834477929,0,34.0849353924921,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3468,3468,1,Ulu Kalumpang,Ulu Kalumpang Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,508.012810607539,Not Applicable,0,Designated,2013,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,790,790,1,Tunku Abdul Rahman Park,Tunku Abdul Rahman Park,State Park,State Park,National,II,Not Applicable,1,0,36.2716209308854,0,49.6545408146549,Not Reported,0,Designated,1974,Sub-national ministry or agency,Not Reported,Sabah Parks,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,789,789,1,Pulau Tiga Park,Pulau Tiga Park,State Park,State Park,National,II,Not Applicable,2,0,155.132494307864,0,162.338309410771,Not Reported,0,Designated,1978,Sub-national ministry or agency,Not Reported,Sabah Parks,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705655,555705655,1,Sungai Lulungoyan,Sungai Lulungoyan Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,21.3976457666419,Not Applicable,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705656,555705656,1,Sungai Maruap,Sungai Maruap Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.244908484874021,0,64.4987319519432,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705657,555705657,1,Sungai Penawan,Sungai Penawan Protection Forest,Forest Reserve,Forest Reserve,National,Ib,Not Applicable,0,0,0,0,22.5036777181422,Not Applicable,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705668,555705668,1,Tambulanan,Tambulanan Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,32.6559662832628,Not Applicable,0,Designated,2013,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705658,555705658,1,Sungai Radapan,Sungai Radapan Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,77.0422129560913,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705659,555705659,1,Sungai Segama,Sungai Segama Protection Forest,Forest Reserve,Forest Reserve,National,Ib,Not Applicable,0,0,0,0,7.786714289045,Not Applicable,0,Designated,2015,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,62581,62581,1,Sungai Serudong,Sungai Serudong Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,86.8789196431303,Not Applicable,0,Designated,1992,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705675,555705675,1,Trusan Sugut,Trusan Sugut Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,1.99807493764754,0,86.5461282449233,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705660,555705660,1,Sungai Sumagas,Sungai Sumagas Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,45.6259455884171,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705662,555705662,1,Sungai Taliwas,Sungai Taliwas Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,95.6586036068913,Not Applicable,0,Designated,2012,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705663,555705663,1,Sungai Tiagau,Sungai Tiagau Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,277.93701996168,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705664,555705664,1,Sungai Tongod,Sungai Tongod Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,49.1522504161764,Not Applicable,0,Designated,2010,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,8795,8795,1,Tabin Wildlife Reserve,Tabin Wildlife Reserve,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,1117.82370986977,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,19595,19595,1,"Tabawan, Bohayan, Maganting and Silumpat Islands","Tabawan, Bohayan, Maganting and Silumpat Islands Virgin Jungle Reserve",Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0.80520158378151,0,9.88296575750882,Not Reported,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,8810,8810,1,Maliau Basin,Maliau Basin,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,583.332826322919,Not Applicable,0,Designated,1997,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,555705670,555705670,1,Tangkulap,Tangkulap Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,272.95023863745,Not Applicable,0,Designated,2014,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3458,3458,1,Tanjong Nagas,Tanjong Nagas Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,3.58273860815556,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
Polygon,3462,3462,1,Tawai,Tawai Protection Forest,Forest Reserve,Forest Reserve,National,Ia,Not Applicable,0,0,0,0,226.876367529186,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Reported,Sabah Forestry Department (SFD) / Sabah Foundation,Not Reported,State Verified,1998,Not Reported,MYS,MYS,Not Applicable,Not Applicable
